station,model,history_hours,horizon,n,mae,rmse,mase,bias,high_n,high_mae,high_bias,overall_pinball,overall_coverage80,overall_width80,high_pinball,high_coverage80,high_width80
Aotizhongxin,LightGBM calendar,0,6,140,84.38143981506231,118.94784846431753,1.499048756902492,-15.368209286512988,33,181.0938555763415,-181.0938555763415,,,,,,
Aotizhongxin,LightGBM calendar,0,24,140,71.688417074853,92.08378296642732,1.2735553308392715,-5.908329245828325,28,145.23915846242426,-145.23915846242426,,,,,,
Aotizhongxin,LightGBM global,24,1,140,11.277644077708288,18.10548448542336,0.20034901481332207,2.6829835300447007,32,20.570078098861547,2.1836022326334303,,,,,,
Aotizhongxin,LightGBM global,24,6,140,41.71643089049256,76.73552056840502,0.7410985639242308,-7.193543908247675,33,86.24247468442597,-68.37192814949809,,,,,,
Aotizhongxin,LightGBM global,24,24,140,61.191407470523515,82.93689031933897,1.0870744028881607,4.027452183357068,28,92.94684875231215,-91.437322049933,,,,,,
Aotizhongxin,LightGBM global,72,1,140,11.277644077708288,18.10548448542336,0.20034901481332207,2.6829835300447007,32,20.570078098861547,2.1836022326334303,,,,,,
Aotizhongxin,LightGBM global,72,6,140,41.71643089049256,76.73552056840502,0.7410985639242308,-7.193543908247675,33,86.24247468442597,-68.37192814949809,,,,,,
Aotizhongxin,LightGBM global,72,24,140,61.191407470523515,82.93689031933897,1.0870744028881607,4.027452183357068,28,92.94684875231215,-91.437322049933,,,,,,
Aotizhongxin,LightGBM global,168,1,140,11.277644077708288,18.10548448542336,0.20034901481332207,2.6829835300447007,32,20.570078098861547,2.1836022326334303,,,,,,
Aotizhongxin,LightGBM global,168,6,140,41.71643089049256,76.73552056840502,0.7410985639242308,-7.193543908247675,33,86.24247468442597,-68.37192814949809,,,,,,
Aotizhongxin,LightGBM global,168,24,140,61.191407470523515,82.93689031933897,1.0870744028881607,4.027452183357068,28,92.94684875231215,-91.437322049933,,,,,,
Aotizhongxin,LightGBM global,720,1,140,11.277644077708288,18.10548448542336,0.20034901481332207,2.6829835300447007,32,20.570078098861547,2.1836022326334303,,,,,,
Aotizhongxin,LightGBM global,720,6,140,41.71643089049256,76.73552056840502,0.7410985639242308,-7.193543908247675,33,86.24247468442597,-68.37192814949809,,,,,,
Aotizhongxin,LightGBM global,720,24,140,61.191407470523515,82.93689031933897,1.0870744028881607,4.027452183357068,28,92.94684875231215,-91.437322049933,,,,,,
Aotizhongxin,LightGBM global,2160,1,140,11.277644077708288,18.10548448542336,0.20034901481332207,2.6829835300447007,32,20.570078098861547,2.1836022326334303,,,,,,
Aotizhongxin,LightGBM global,2160,6,140,41.71643089049256,76.73552056840502,0.7410985639242308,-7.193543908247675,33,86.24247468442597,-68.37192814949809,,,,,,
Aotizhongxin,LightGBM global,2160,24,140,61.191407470523515,82.93689031933897,1.0870744028881607,4.027452183357068,28,92.94684875231215,-91.437322049933,,,,,,
Aotizhongxin,LightGBM global+local,24,1,140,11.277644077708288,18.10548448542336,0.20034901481332207,2.6829835300447007,32,20.570078098861547,2.1836022326334303,,,,,,
Aotizhongxin,LightGBM global+local,24,6,140,41.71643089049256,76.73552056840502,0.7410985639242308,-7.193543908247675,33,86.24247468442597,-68.37192814949809,,,,,,
Aotizhongxin,LightGBM global+local,24,24,140,61.191407470523515,82.93689031933897,1.0870744028881607,4.027452183357068,28,92.94684875231215,-91.437322049933,,,,,,
Aotizhongxin,LightGBM global+local,72,1,140,11.19292672053597,18.33998913488412,0.1988439984348914,2.601901309687543,32,19.82820629829477,1.6990857798967687,,,,,,
Aotizhongxin,LightGBM global+local,72,6,140,41.507124921343035,76.83954299507938,0.7373802124294764,-9.168515130792242,33,87.26328896852097,-70.31702854774502,,,,,,
Aotizhongxin,LightGBM global+local,72,24,140,61.92610657724081,84.66726942156349,1.1001264411685663,3.4146167098819125,28,95.76437495321571,-94.91891285169467,,,,,,
Aotizhongxin,LightGBM global+local,168,1,140,10.962178061840667,18.11585971316583,0.1947447143893451,2.907957854706535,32,19.371696701899747,2.632624698691594,,,,,,
Aotizhongxin,LightGBM global+local,168,6,140,41.38679049170196,76.42653549378898,0.7352424534914758,-9.01322687485096,33,86.85215711506352,-68.51742940259554,,,,,,
