model,history_hours,horizon,n,mae,rmse,mase,bias,high_n,high_mae,high_bias,overall_pinball,overall_coverage80,overall_width80,high_pinball,high_coverage80,high_width80,mae_ci_low,mae_ci_high,delta_vs_persistence,delta_ci_low,delta_ci_high
LightGBM global+local,24,6,1596,37.2532884746018,63.09899029677564,0.6965551902440954,-3.8531041275174296,324,75.49387752341167,-58.880705649178765,,,,,,,34.210898722756724,39.92012983499667,-2.0455837058493236,-2.9898385932091887,-1.2519508987538466
LightGBM global+local,24,24,1596,62.326369122137315,85.4055447856363,1.170127760507769,-2.317338277931482,349,109.82153049061965,-106.0372142912098,,,,,,,59.18426568074955,65.53135180377231,-14.110347669842636,-16.36212028585468,-11.950810920071207
LightGBM global+local,72,1,1596,11.797195349062049,22.163921603620768,0.22138343187907594,0.5355002123337433,328,24.38909962601134,-5.183861283498657,,,,,,,10.939097198125443,12.697935564194776,0.0471953490620491,-0.3732690797707294,0.4640320166939054
LightGBM global+local,72,6,1596,37.24339248633811,63.52387290472982,0.696487293058114,-6.224864365542584,324,78.1052549363809,-63.32281292544001,,,,,,,34.28889385408541,39.80696081733763,-2.05547969411302,-3.052605053360109,-1.0063217387456784
LightGBM global+local,72,24,1596,62.350368141158334,85.39170318114897,1.1709709126391628,-2.601516898866117,349,109.6627876310005,-105.81159874568569,,,,,,,59.281333667713334,65.39234199294796,-14.086348650821618,-16.484561987431217,-11.729569301972717
LightGBM global+local,168,1,1596,11.695712219002242,21.942546325014845,0.21950207815140457,0.49497363913279613,328,23.992858910012664,-5.051487176462377,,,,,,,10.869662549462017,12.603078674737825,-0.05428778099775474,-0.4431910752134575,0.31569150256492606
LightGBM global+local,168,6,1596,37.09877642814702,63.28375642392052,0.6939876986004856,-5.726720036801621,324,77.31303691603678,-61.763657040238925,,,,,,,34.09362382264731,39.60653413511992,-2.200095752304114,-3.1393512921756064,-1.2157329468305649
LightGBM global+local,168,24,1596,62.381624482340705,85.77005951656619,1.1713779897898782,-2.798831079284212,349,109.86611584431354,-105.36297044293806,,,,,,,59.28200808900186,65.71462643539617,-14.055092309639239,-16.50399274830632,-11.74106782273337
LightGBM global+local,720,1,1596,11.698042519937557,21.82238460358229,0.21959616522758674,0.40477471735002146,328,24.02057074393021,-5.470147472231194,,,,,,,10.806692891621413,12.642352514092343,-0.05195748006244188,-0.37646116310661004,0.2896310188813805
LightGBM global+local,720,6,1596,37.1553253872118,63.58811189943595,0.6952797485336693,-5.352179791319004,324,77.27440137291454,-61.36924584682632,,,,,,,34.34199008651822,39.54125568888312,-2.1435467932393197,-3.0159639018823903,-1.288801795771099
LightGBM global+local,720,24,1596,62.054238235977884,85.04765296099681,1.1659492780527043,-2.4557534193532002,349,108.09730862277189,-103.91148525650249,,,,,,,59.17682664631329,65.17343352839158,-14.382478556002061,-16.88155786425045,-11.902672890488136
LightGBM global+local,2160,1,1596,11.730612914414234,21.73328118757519,0.2200930848040982,0.6108436635464393,328,24.08508733902178,-4.771895798006181,,,,,,,10.80959652391665,12.758852656166493,-0.019387085585765726,-0.38491090280769386,0.39133278388997217
LightGBM global+local,2160,6,1596,37.013062787746215,63.14020203064922,0.6921654697476806,-5.234903716218781,324,76.71432920155254,-61.31036634973699,,,,,,,33.911980236514715,39.56820111614345,-2.2858093927049152,-3.168965123780009,-1.3907315636574957
LightGBM global+local,2160,24,1596,62.17046081859354,84.83184401011185,1.1672647664740166,-2.4608698600677723,349,108.73340146295668,-104.52581876787025,,,,,,,59.03068172329074,65.31126750870057,-14.266255973386418,-16.472189128555026,-12.176645163706517
Persistence,24,1,1596,11.75,21.040225824759872,0.2207537520456358,-0.4066416040100251,328,21.115853658536587,-6.817073170731708,,,,,,,10.983313017968548,12.53611117346597,0.0,0.0,0.0
Persistence,24,6,1596,39.29887218045113,65.57632966651403,0.7362100956069346,-0.6046365914786967,324,65.45061728395062,-25.944444444444443,,,,,,,36.40538064070791,42.016058454833676,0.0,0.0,0.0
Persistence,24,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Persistence,72,1,1596,11.75,21.040225824759872,0.2207537520456358,-0.4066416040100251,328,21.115853658536587,-6.817073170731708,,,,,,,10.983313017968548,12.53611117346597,0.0,0.0,0.0
Persistence,72,6,1596,39.29887218045113,65.57632966651403,0.7362100956069346,-0.6046365914786967,324,65.45061728395062,-25.944444444444443,,,,,,,36.40538064070791,42.016058454833676,0.0,0.0,0.0
Persistence,72,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Persistence,168,1,1596,11.75,21.040225824759872,0.2207537520456358,-0.4066416040100251,328,21.115853658536587,-6.817073170731708,,,,,,,10.983313017968548,12.53611117346597,0.0,0.0,0.0
Persistence,168,6,1596,39.29887218045113,65.57632966651403,0.7362100956069346,-0.6046365914786967,324,65.45061728395062,-25.944444444444443,,,,,,,36.40538064070791,42.016058454833676,0.0,0.0,0.0
Persistence,168,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Persistence,720,1,1596,11.75,21.040225824759872,0.2207537520456358,-0.4066416040100251,328,21.115853658536587,-6.817073170731708,,,,,,,10.983313017968548,12.53611117346597,0.0,0.0,0.0
Persistence,720,6,1596,39.29887218045113,65.57632966651403,0.7362100956069346,-0.6046365914786967,324,65.45061728395062,-25.944444444444443,,,,,,,36.40538064070791,42.016058454833676,0.0,0.0,0.0
Persistence,720,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Persistence,2160,1,1596,11.75,21.040225824759872,0.2207537520456358,-0.4066416040100251,328,21.115853658536587,-6.817073170731708,,,,,,,10.983313017968548,12.53611117346597,0.0,0.0,0.0
Persistence,2160,6,1596,39.29887218045113,65.57632966651403,0.7362100956069346,-0.6046365914786967,324,65.45061728395062,-25.944444444444443,,,,,,,36.40538064070791,42.016058454833676,0.0,0.0,0.0
Persistence,2160,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Seasonal day,24,1,1596,79.99937343358395,116.32999848003917,1.5012713939308373,4.3314536340852134,328,130.0640243902439,-70.96646341463415,,,,,,,75.69470802919709,84.5429799411185,68.24937343358395,64.43239899662437,72.59389907385707
Seasonal day,24,6,1596,81.58959899749374,124.40299791292938,1.5281250754277933,1.4342105263157894,324,126.11111111111111,-96.91358024691358,,,,,,,76.02660536549679,86.26614097831288,42.290726817042604,39.06342229628295,45.2712467005807
Seasonal day,24,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Seasonal day,72,1,1596,79.99937343358395,116.32999848003917,1.5012713939308373,4.3314536340852134,328,130.0640243902439,-70.96646341463415,,,,,,,75.69470802919709,84.5429799411185,68.24937343358395,64.43239899662437,72.59389907385707
Seasonal day,72,6,1596,81.58959899749374,124.40299791292938,1.5281250754277933,1.4342105263157894,324,126.11111111111111,-96.91358024691358,,,,,,,76.02660536549679,86.26614097831288,42.290726817042604,39.06342229628295,45.2712467005807
Seasonal day,72,24,1596,76.43671679197995,108.74563051170594,1.433471810685384,3.4342105263157894,349,111.4756446991404,-68.02578796561605,,,,,,,72.30500420479179,80.36421127081658,0.0,0.0,0.0
Seasonal day,168,1,1596,79.99937343358395,116.32999848003917,1.5012713939308373,4.3314536340852134,328,130.0640243902439,-70.96646341463415,,,,,,,75.69470802919709,84.5429799411185,68.24937343358395,64.43239899662437,72.59389907385707
